ID,Parent/Guardian,Child,Year,Source,Warm/Cold,Phone/WhatsApp,Email,Primary Concern,Date First Contact,Status,Diagnostic Sent,Diagnostic Completed,Review Date,Offer,Monthly Value,Paid?,Next Action,Next Action Date,Notes
32,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
33,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
34,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
35,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
36,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
37,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
38,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
39,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
40,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
41,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
42,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
43,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
44,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
45,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
46,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
47,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
48,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
49,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
50,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
51,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
52,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
53,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
54,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
55,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
56,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
57,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
58,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
59,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
60,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
61,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
62,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
63,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
64,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
65,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
66,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
67,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
68,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
69,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
70,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
71,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
72,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
73,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
74,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
75,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
76,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
77,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
78,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
79,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
80,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
81,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
82,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
83,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
84,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
85,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
86,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
87,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
88,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
89,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
90,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
91,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
92,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
93,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
94,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
95,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
96,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
97,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
98,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
99,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
100,,,,,,,,,,NEW,,,,,,,Add/contact prospect,,
